Lexie's opinion!,,class,label,description
,76,completion.title_iv.low_inc.still_enrolled_by.2yrs,LO_INC_ENRL_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 2 years "
,77,completion.title_iv.first_gen.transf_completed_4yr_by.3yrs,FIRSTGEN_COMP_4YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 3 years
,78,completion.title_iv.male.transf_completed_4yr_by.2yrs,MALE_COMP_4YR_TRANS_YR2_RT,Percent of male students who transferred to a 4-year institution and completed within 2 years
,79,completion.title_iv.loan_recip.completed_by.3yrs,LOAN_COMP_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and who completed in 3 years at original institution
,80,completion.title_iv.completed_by.2yrs,COMP_ORIG_YR2_RT,Percent completed within 2 years at original institution
,81,academics.program.certificate_lt_1_yr.multidiscipline,CIP30CERT1,Certificate of less than one academic year in Multi/Interdisciplinary Studies.
,82,repayment.3_yr_repayment_suppressed.first_generation_students,FIRSTGEN_RPY_3YR_RT_SUPP,"3-year repayment rate for first-generation students, suppressed for n=30"
,83,completion.title_iv.no_pell.transf_unknown_4yr_by.8yrs,NOPELL_UNKN_4YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years
,84,repayment.7_yr_repayment.middle_income,MD_INC_RPY_7YR_N,"Number of students in the 7-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort"
,85,completion.title_iv.mid_inc.unknown_by.4yrs,MD_INC_UNKN_ORIG_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 4 years at original institution"
,86,completion.title_iv.no_loan.transf_unknown_4yr_by.3yrs,NOLOAN_UNKN_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
,87,completion.title_iv.transf_unknown_2yr_by.8yrs,UNKN_2YR_TRANS_YR8_RT,Percent who transferred to a 2-year institution and whose status is unknown within 8 years
,88,academics.program.certificate_lt_1_yr.personal_culinary,CIP12CERT1,Certificate of less than one academic year in Personal And Culinary Services.
,89,academics.program.bachelors.education,CIP13BACHL,Bachelor's degree in Education.
,90,academics.program.certificate_lt_2_yr.health,CIP51CERT2,Certificate of at least one but less than two academic years in Health Professions And Related Programs.
,91,completion.title_iv.female.transf_withdrawn_2yr_by.6yrs,FEMALE_WDRAW_2YR_TRANS_YR6_RT,Percent of female students who transferred to a 2-year institution and withdrew within 6 years
,92,earnings.6_yrs_after_entry.working_not_enrolled.dependent_students_lowest_tercile,count_wne_indep0_inc1_p6,Number of dependent students working and not enrolled 6 years after entry in the lowest income tercile
,93,completion.title_iv.independ.transf_completed_4yr_by.8yrs,IND_COMP_4YR_TRANS_YR8_RT,Percent of independent students who transferred to a 4-year institution and completed within 8 years
,94,student.demographics.female_share,female,"Share of female students, via SSA data"
,95,completion.title_iv.low_inc.transf_still_enrolled_2yr_by.2yrs,LO_INC_ENRL_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years"
,96,completion.title_iv.no_loan.unknown_by.3yrs,NOLOAN_UNKN_ORIG_YR3_RT,Percent of students who never received a federal loan at the institution and with status unknown within 3 years at original institution
,97,repayment.5_yr_repayment.first_generation_students,FIRSTGEN_RPY_5YR_N,Number of students in the 5-year repayment rate of first-generation students cohort
,98,cost.net_price.program_reporter.by_income_level.30001-48000,NPT42_PROG,"Average net price for $30,001-$48,000 family income (program-year institutions)"
,99,completion.title_iv.first_gen.transf_unknown_4yr_by.4yrs,FIRSTGEN_UNKN_4YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 4 years
,100,school.carnegie_size_setting,CCSIZSET,Carnegie Classification -- size and setting
,101,completion.title_iv.transf_unknown_4yr_by.4yrs,UNKN_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and whose status is unknown within 4 years
,102,academics.program.assoc.philosophy_religious,CIP38ASSOC,Associate degree in Philosophy And Religious Studies.
,103,completion.title_iv.depend.completed_by.6yrs,DEP_COMP_ORIG_YR6_RT,Percent of dependent students who completed within 6 years at original institution
,104,completion.title_iv.low_inc.completed_by.2yrs,LO_INC_COMP_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 2 years at original institution"
,105,completion.2_yr_completion.first_generation_students,FIRSTGEN_YR2_N,Number of first-generation students in overall 2-year completion cohort
,106,academics.program.certificate_lt_1_yr.visual_performing,CIP50CERT1,Certificate of less than one academic year in Visual And Performing Arts.
,107,completion.title_iv.loan_recip.transf_completed_4yr_by.2yrs,LOAN_COMP_4YR_TRANS_YR2_RT,Percent of students who received a federel loan at the institution and who transferred to a 4-year institution and completed within 2 years
,108,cost.title_iv.other_acad_calendar.by_income_level.30001-48000,NUM42_OTHER,"Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)"
,109,repayment.7_yr_repayment.completers,COMPL_RPY_7YR_N,Number of students in the 7-year repayment rate of completers cohort
,110,completion.title_iv.loan_recip.still_enrolled_by.2yrs,LOAN_ENRL_ORIG_YR2_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 2 years 
,111,completion.title_iv.first_gen.died_by.8yrs,FIRSTGEN_DEATH_YR8_RT,Percent of first-generation students who died within 8 years at original institution
,112,completion.title_iv.no_loan.transf_completed_2yr_by.3yrs,NOLOAN_COMP_2YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years
,113,completion.title_iv.depend.withdrawn_by.6yrs,DEP_WDRAW_ORIG_YR6_RT,Percent of dependent students withdrawn from original institution within 6 years
,114,completion.title_iv.male.died_by.6yrs,MALE_DEATH_YR6_RT,Percent of male students who died within 6 years at original institution
,115,cost.net_price.private.by_income_level.30001-48000,NPT42_PRIV,"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
,116,academics.program.assoc.library,CIP25ASSOC,Associate degree in Library Science.
,117,completion.title_iv.died_by.3yrs,DEATH_YR3_RT,Percent died within 3 years at original institution
,118,completion.title_iv.low_inc.transf_still_enrolled_4yr_by.4yrs,LO_INC_ENRL_4YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 4 years"
,119,earnings.8_yrs_after_entry.25th_percentile_earnings,pct25_earn_wne_p8,25th percentile of earnings of students working and not enrolled 8 years after entry
,120,completion.4_yr_completion.overall,OVERALL_YR4_N,Number of students in overall 4-year completion cohort
,121,completion.title_iv.transf_unknown_4yr_by.3yrs,UNKN_4YR_TRANS_YR3_RT,Percent who transferred to a 4-year institution and whose status is unknown within 3 years
,122,completion.title_iv.high_inc.transf_completed_2yr_by.4yrs,HI_INC_COMP_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 4 years"
,123,school.ownership,CONTROL,Control of institution
,124,repayment.5_yr_repayment.completers,COMPL_RPY_5YR_N,Number of students in the 5-year repayment rate of completers cohort
,125,completion.title_iv.low_inc.transf_withdrawn_2yr_by.6yrs,LO_INC_WDRAW_2YR_TRANS_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 6 years"
,126,completion.title_iv.high_inc.transf_completed_4yr_by.2yrs,HI_INC_COMP_4YR_TRANS_YR2_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years"
,127,completion.title_iv.depend.transf_still_enrolled_4yr_by.3yrs,DEP_ENRL_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and were still enrolled within 3 years
,128,completion.title_iv.depend.transf_completed_2yr_by.6yrs,DEP_COMP_2YR_TRANS_YR6_RT,Percent of dependent students who transferred to a 2-year institution and completed within 6 years
,129,academics.program.certificate_lt_1_yr.transportation,CIP49CERT1,Certificate of less than one academic year in Transportation And Materials Moving.
,130,completion.title_iv.completed_by.6yrs,COMP_ORIG_YR6_RT,Percent completed within 6 years at original institution
,131,completion.title_iv.no_loan.transf_completed_2yr_by.2yrs,NOLOAN_COMP_2YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 2 years
,132,student.demographics.veteran,veteran,Share of veteran students
,133,academics.program.assoc.communications_technology,CIP10ASSOC,Associate degree in Communications Technologies/Technicians And Support Services.
,134,academics.program_percentage.physical_science,PCIP40,Percentage of degrees awarded in Physical Sciences.
,135,admissions.act_scores.midpoint.math,ACTMTMID,Midpoint of the ACT math score
,136,completion.title_iv.loan_recip.still_enrolled_by.4yrs,LOAN_ENRL_ORIG_YR4_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 4 years
,137,repayment.3_yr_repayment.middle_income,MD_INC_RPY_3YR_N,"Number of students in the 3-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort"
,138,completion.title_iv.not_first_gen.died_by.4yrs,NOT1STGEN_DEATH_YR4_RT,Percent of not-first-generation students who died within 4 years at original institution
,139,completion.title_iv.male.transf_completed_2yr_by.2yrs,MALE_COMP_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and completed within 2 years
,140,academics.program.bachelors.computer,CIP11BACHL,Bachelor's degree in Computer And Information Sciences And Support Services.
,141,completion.title_iv.pell_recip.transf_withdrawn_4yr_by.2yrs,PELL_WDRAW_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 2 years 
,142,academics.program_percentage.ethnic_cultural_gender,PCIP05,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies."
,143,aid.median_debt.number.no_pell_grant,NOPELL_DEBT_N,The number of students in the median debt no-Pell students cohort
,144,repayment.7_yr_repayment.female_students,FEMALE_RPY_7YR_N,Number of students in the 7-year repayment rate of female students cohort
,145,completion.title_iv.pell_recip.transf_unknown_4yr_by.3yrs,PELL_UNKN_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
,146,completion.title_iv.first_gen.transf_withdrawn_4yr_by.6yrs,FIRSTGEN_WDRAW_4YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 4-year institution and withdrew within 6 years
,147,completion.title_iv.not_first_gen.transf_withdrawn_2yr_by.8yrs,NOT1STGEN_WDRAW_2YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 8 years
,148,aid.cumulative_debt.number,CUML_DEBT_N,Number of students in the cumulative loan debt cohort
,149,academics.program_percentage.communications_technology,PCIP10,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.
,150,completion.title_iv.male.transf_still_enrolled_4yr_by.8yrs,MALE_ENRL_4YR_TRANS_YR8_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 8 years
,151,academics.program.assoc.public_administration_social_service,CIP44ASSOC,Associate degree in Public Administration And Social Service Professions.
,152,completion.title_iv.female.transf_withdrawn_4yr_by.3yrs,FEMALE_WDRAW_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and withdrew within 3 years
,153,completion.title_iv.pell_recip.transf_withdrawn_4yr_by.4yrs,PELL_WDRAW_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 4 years
,154,earnings.8_yrs_after_entry.not_working_not_enrolled,count_nwne_p8,Number of students not working and not enrolled 8 years after entry
,155,earnings.10_yrs_after_entry.mean_earnings.middle_tercile,mn_earn_wne_inc2_p10,Mean earnings of students working and not enrolled 10 years after entry in the middle income tercile
,156,completion.title_iv.mid_inc.transf_still_enrolled_4yr_by.8yrs,MD_INC_ENRL_4YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 8 years"
,157,earnings.9_yrs_after_entry.working_not_enrolled,count_wne_p9,Number of students working and not enrolled 9 years after entry
,158,academics.program.assoc.psychology,CIP42ASSOC,Associate degree in Psychology.
,159,student.demographics.median_hh_income,median_hh_inc,Median household income
,160,completion.title_iv.first_gen.transf_completed_2yr_by.2yrs,FIRSTGEN_COMP_2YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 2 years
,161,completion.title_iv.depend.transf_withdrawn_4yr_by.2yrs,DEP_WDRAW_4YR_TRANS_YR2_RT,Percent of dependent students who transferred to a 4-year institution and withdrew within 2 years 
,162,completion.completion_rate_4yr_150_aian_pre2010,C150_4_AIANOld,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for American Indian/Alaska Native students"
,163,academics.program_percentage.security_law_enforcement,PCIP43,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
,164,completion.title_iv.depend.transf_withdrawn_4yr_by.3yrs,DEP_WDRAW_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and withdrew within 3 years
,165,repayment.3_yr_repayment.independent_students,IND_RPY_3YR_N,Number of students in the 3-year repayment rate of independent students cohort
,166,cost.net_price.private.by_income_level.48001-75000,NPT43_PRIV,"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
,167,completion.title_iv.first_gen.transf_unknown_4yr_by.8yrs,FIRSTGEN_UNKN_4YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 8 years
,168,completion.title_iv.no_loan.died_by.3yrs,NOLOAN_DEATH_YR3_RT,Percent of students who never received a federal loan at the institution and who died within 3 years at original institution
,169,academics.program.bachelors.military,CIP29BACHL,Bachelor's degree in Military Technologies And Applied Sciences.
,170,completion.title_iv.no_loan.withdrawn_by.6yrs,NOLOAN_WDRAW_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and withdrew from original institution within 6 years
,171,academics.program.certificate_lt_4_yr.library,CIP25CERT4,Award of more than two but less than four academic years in Library Science.
,172,academics.program_percentage.social_science,PCIP45,Percentage of degrees awarded in Social Sciences.
,173,completion.title_iv.loan_recip.transf_still_enrolled_2yr_by.2yrs,LOAN_ENRL_2YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 2 years
,174,completion.title_iv.loan_recip.transf_unknown_2yr_by.6yrs,LOAN_UNKN_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 6 years
,175,completion.title_iv.mid_inc.transf_completed_2yr_by.6yrs,MD_INC_COMP_2YR_TRANS_YR6_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 6 years"
,176,completion.title_iv.pell_recip.transf_unknown_4yr_by.2yrs,PELL_UNKN_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years
,177,completion.title_iv.no_pell.transf_unknown_2yr_by.3yrs,NOPELL_UNKN_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years
,178,completion.title_iv.female.transf_unknown_2yr_by.6yrs,FEMALE_UNKN_2YR_TRANS_YR6_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 6 years
,179,completion.6_yr_completion.male_students,MALE_YR6_N,Number of male students in overall 6-year completion cohort
,180,repayment.repayment_date.number,REPAY_DT_N,Number of students in the cohort for date students enter repayment
,181,earnings.6_yrs_after_entry.male_students,count_wne_male1_p6,Number of male students working and not enrolled 6 years after entry
,182,academics.program.bachelors.engineering,CIP14BACHL,Bachelor's degree in Engineering.
,183,completion.title_iv.male.transf_still_enrolled_2yr_by.4yrs,MALE_ENRL_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and were still enrolled within 4 years
,184,cost.title_iv.public.by_income_level.0-30000,NUM41_PUB,"Number of Title IV students, $0-$30,000 family income (public institutions)"
,185,completion.title_iv.died_by.4yrs,DEATH_YR4_RT,Percent died within 4 years at original institution
,186,admissions.sat_scores.25th_percentile.critical_reading,SATVR25,25th percentile of SAT scores at the institution (critical reading)
